Frequency (THz),Measured Reflectivity (abs),Fitted Reflectivity (abs),Real(n),Imaginary(n)
1.806640625e-11,4.750311832851339,1.0,1876751.5069003848,-16515.336348693134
1.81640625e-11,9.045562310594754,1.0,1866663.7698520732,-16338.263379168366
1.826171875e-11,2.527504004743077,1.0,1856683.886052706,-16164.02283251616
1.8359375e-11,0.9609121235587366,1.0,1846810.1352201982,-15992.554623861166
1.845703125e-11,0.33404581411145134,1.0,1837040.8334600767,-15823.800253065809
1.85546875e-11,0.27293279477525384,1.0,1827374.3323085543,-15657.70275483974
1.865234375e-11,0.7418239409907457,1.0,1817809.0178056417,-15494.20665067202
1.875e-11,2.1698889589344064,1.0,1808343.3095971951,-15333.25790251027
1.884765625e-11,1.207538742806252,1.0,1798975.6600648675,-15174.803868114754
1.89453125e-11,0.9369564259135023,1.0,1789704.5534829423,-15018.793258018442
1.904296875e-11,0.9695312759042299,1.0,1780528.5052010934,-14865.176094027385
1.9140625e-11,1.0344199638056635,1.0,1771446.060852144,-14713.90366919871
1.923828125e-11,1.0961314208392139,1.0,1762455.795583938,-14564.928509236477
1.93359375e-11,1.2363535162069006,1.0,1753556.3133144702,-14418.204335248247
1.943359375e-11,1.7346787471965028,1.0,1744746.246009458,-14273.68602780779
1.953125e-11,0.7034839923735355,1.0,1736024.2529815733,-14131.329592271893
1.962890625e-11,0.47918814137241533,1.0,1727389.020210575,-13991.092125301504
1.97265625e-11,0.4998683882772825,1.0,1718839.2596836258,-13852.931782539643
1.982421875e-11,0.5770573215267306,1.0,1710373.7087550869,-13716.807747400599
1.9921875e-11,0.6900202448481166,1.0,1701991.1295251395,-13582.680200927018
2.001953125e-11,0.8192313961806882,1.0,1693690.3082365692,-13450.510292673303
2.01171875e-11,0.8250423734386229,1.0,1685470.054689118,-13320.260112575574
2.021484375e-11,0.8159585285034313,1.0,1677329.2016707945,-13191.892663770188
2.03125e-11,1.0752194382828875,1.0,1669266.6044055792,-13065.371836324428
2.041015625e-11,1.7199322182982637,1.0,1661281.1400169774,-12940.66238184456
2.05078125e-11,2.306134461918861,1.0,1653371.7070068854,-12817.729888927945
2.060546875e-11,1.574303340606356,1.0,1645537.2247492685,-12696.540759427211
2.0703125e-11,0.8417731988828815,1.0,1637776.6329981608,-12577.062185496057
2.080078125e-11,0.49401323241943584,1.0,1630088.891409514,-12459.262127387297
2.08984375e-11,0.3875465921770552,1.0,1622472.9790764425,-12343.109291975166
2.099609375e-11,0.326956983494505,1.0,1614927.8940774347,-12228.573111975016
2.109375e-11,0.3238251832019589,1.0,1607452.6530371031,-12115.623725834592
2.119140625e-11,0.4982135870413198,1.0,1600046.2906990729,-12004.231958272243
2.12890625e-11,0.7886557060777736,1.0,1592707.8595106208,-11894.369301438406
2.138671875e-11,1.0465926598489665,1.0,1585436.429218682,-11786.007896677584
2.1484375e-11,1.0953941714616748,1.0,1578231.0864768766,-11679.120516869134
2.158203125e-11,0.994938056708245,1.0,1571090.9344631913,-11573.680549325865
2.16796875e-11,0.9327238165003033,1.0,1564015.0925079917,-11469.66197923051
2.177734375e-11,0.984050695439056,1.0,1557002.695732038,-11367.039373590773
2.1875e-11,1.150210503683887,1.0,1550052.8946941886,-11265.787865694403
2.197265625e-11,1.4306395095595787,1.0,1543164.855048497,-11165.883140046732
2.20703125e-11,1.8549177042194165,1.0,1536337.7572104025,-11067.30141777352
2.216796875e-11,2.397580019643134,1.0,1529570.7960317438,-10970.019442472743
2.2265625e-11,2.598128627892653,1.0,1522863.1804843168,-10874.0144664997
2.236328125e-11,2.143938045376191,1.0,1516214.1333517213,-10779.264237670272
2.24609375e-11,1.729848491269721,1.0,1509622.89092924,-10685.746986367833
2.255859375e-11,1.6393436362869478,1.0,1503088.702731512,-10593.441413039915
2.265625e-11,1.734793391465493,1.0,1496610.8312077583,-10502.326676071165
2.275390625e-11,1.8127307384690061,1.0,1490188.5514643409,-10412.382380019693
2.28515625e-11,1.721070541888622,1.0,1483821.1509944284,-10323.588564204556
